roi_number,blob_number,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerimeter,FeretDiameter,BoundingBox_xwidth,BoundingBox_ywidth,shapehist_mean_normEqD,shapehist_mode_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,shapehist_kurtosis_normEqD,Biovolume
477,2,362,23.16008108,20.17358735,0.4911944555,-51.66598225,385,21.46887783,0.9402597403,0.7835497835,68.667,71.58024793,83.5,21,22,0.7776759094,0.04657905308,0.7510646633,0.1548184211,2.212515879,11482.52115
510,1,440,26.50292305,21.78755049,0.5693705007,-23.77845717,502,23.66908109,0.8764940239,0.7357859532,84.786,82.86902142,82.5,26,23,0.5939468986,0.04224921095,0.5746513968,0.1406375636,1.870006887,1195.376005
510,2,183,36.82950624,16.45460793,0.8946449269,-60.0315787,491,15.26443044,0.3727087576,0.244,104.56,87.47879011,43.5,25,30,0.9683063435,0.06551177942,1.056345702,-0.3808021453,2.010508276,4870.549316
520,1,1279,79.81100034,30.26541639,0.9253091641,22.64863657,2112,40.35434769,0.6055871212,0.3625283447,278.708,199.5705454,112.5,84,42,0.789446036,0.02478047738,0.7321781938,0.5092016739,2.604047117,13621.91016
520,2,289,21.10648011,18.83942154,0.4508703453,63.3420105,381,19.18244584,0.7585301837,0.4816666667,80.817,73.74446093,131.5,25,24,0.6469320176,0.05213099561,0.7013508162,-0.3364806796,2.008447662,3167.510793
529,1,688,36.06381773,26.0246387,0.6922816684,-34.09468291,970,29.59710808,0.7092783505,0.5733333333,137.915,120.569903,120.5,40,30,0.3495312049,0.03378708478,0.3777510917,-0.2857837715,2.068451113,2076.592744
529,2,466,28.81014129,21.1099143,0.6805247202,-42.44105124,513,24.35835848,0.9083820663,0.6638176638,82.942,83.8449077,84.5,27,26,0.8198476281,0.04105366956,0.8776272155,-0.1468695529,2.202706865,10264.3686
529,3,455,52.96618886,16.81079615,0.9482959961,-17.69419346,826,24.06915023,0.5508474576,0.3190743338,149.287,119.3182518,116.5,46,31,0.6341102285,0.04154695909,0.6864672733,-0.2854737996,2.058759786,5187.004395
529,4,205,18.8260195,15.34098472,0.5796268626,36.15243369,266,16.15593101,0.7706766917,0.490430622,64.045,61.72714203,119.5,22,19,1.14656515,0.3094838668,1.030167619,0.4196158003,2.337210816,5852.001715
562,1,9149,157.0409284,87.3978342,0.8308281702,-9.300682607,13022,107.9299245,0.7025802488,0.5295173052,786.749,436.0821617,183.5,163,106,0.6643674468,0.009265271008,0.6615429453,0.1296879157,2.267090599,280565.0625
562,2,4501,118.7988274,58.85819875,0.868639725,-44.90272123,5908,75.70238564,0.7618483412,0.4640206186,412.264,304.8211419,261.5,97,100,0.6681091291,0.01320962334,0.6474063216,0.2542814771,2.40302374,98951.10156
577,1,5755,123.9987675,63.3304981,0.8597382519,-17.12618812,7080,85.60078025,0.8128531073,0.5112828714,372.981,334.1739998,159.5,134,84,0.684004237,0.01168213651,0.6955532696,0.1078402155,2.40306969,192077.2344
577,2,489,33.43076167,22.09808515,0.7503766337,18.28476945,707,24.95223712,0.6916548798,0.4274475524,115.246,110.378952,103.5,44,26,0.7448267223,0.04007656689,0.7561631517,0.1934877077,2.31672519,5236.094238
592,1,5269,175.9756335,69.4938128,0.9187215815,13.52104374,9551,81.90664907,0.5516699822,0.2729203356,612.571,461.3416378,219.5,197,98,0.8777777315,0.01220902102,0.79536876,0.4967794485,2.434942408,102912.0781
592,2,368,43.42963463,21.30860528,0.8713586246,-14.80579405,794,21.64606552,0.4634760705,0.2951082598,150.279,114.8710542,122.5,43,29,0.8575343402,0.2309888601,0.8328421792,0.4017438306,2.553369662,2023.02771
599,1,799,52.80227392,29.60197273,0.8280736828,-84.86938454,1415,31.89542908,0.564664311,0.3747654784,229.615,147.2310496,74.5,41,52,0.6883784268,0.03135245484,0.6876130164,0.1527237847,2.349421857,7220.291016
599,2,261,42.12162674,17.29079513,0.9118620156,12.98302285,559,18.22952334,0.4669051878,0.2758985201,126.717,101.3148567,90.5,43,22,0.8589726945,0.4422637717,0.779651236,0.4883095325,2.482642362,1234.670044
607,1,768,49.69104179,24.60438645,0.8688090273,22.35879693,1271,31.27056076,0.6042486231,0.4183006536,191.06,141.0114648,150.5,54,34,0.4144513633,0.03197895962,0.4349608762,-0.08883999168,2.046580944,1916.941528
607,2,264,22.7386069,19.30149174,0.5286461227,-54.17323076,419,18.33399138,0.630071599,0.4099378882,92.064,79.96783789,65.5,23,28,0.7691697967,0.1219629666,0.7174076919,0.2921056913,2.090504017,1329.679091
607,3,251,23.61909436,14.40716051,0.7924172872,-60.85253389,300,17.87688803,0.8366666667,0.5577777778,67.899,68.17837626,84.5,18,25,0.6494563666,0.05593814752,0.6759032082,0.03443781871,2.326559461,1958.78302
607,4,176,45.2460605,15.2646737,0.9413720465,-79.76786145,425,14.96964127,0.4141176471,0.2514285714,103.287,85.91335789,61.5,20,35,1.514062789,0.09447210768,1.493735178,0.1975519874,2.357642809,7192.299316
623,1,3098,80.25652359,65.32678514,0.5809002305,71.95849248,4278,62.80522359,0.724170173,0.5099588477,308.522,250.5088668,114.5,75,81,0.6668512869,0.0159222425,0.6837300889,-0.09976063458,2.045791659,60883.21484
623,2,183,17.68737269,13.66477294,0.6349268865,78.55606168,201,15.26443044,0.9104477612,0.6354166667,49.357,52.25948609,97.5,16,18,0.6130685465,0.8541690999,0.6680916833,-0.3495853559,2.027946811,1323.395905
640,1,3341,119.37899,41.1421253,0.9387369292,-7.731024387,4460,65.22187761,0.749103139,0.5797327781,327.791,275.2173056,139.5,113,51,0.7242261781,0.01533227863,0.6761865153,0.385376388,2.43268633,66222.73438
640,2,177,19.84567029,12.97842999,0.7565223548,-22.56755916,225,15.01210843,0.7866666667,0.5619047619,60.199,58.55457006,121.5,21,15,0.6482386277,0.06661289484,0.6661289484,-0.01899815356,2.21301604,1097.478882
649,1,906,43.39458143,28.39749156,0.7561470116,9.368694156,1111,33.96402549,0.8154815482,0.5551470588,144.299,128.4814284,73.5,51,32,0.6655829683,0.02944291749,0.6892410273,0.02056482467,2.120119352,13514.71191
649,2,165,16.91312308,14.9022738,0.4729166705,-74.79767624,220,14.49429284,0.75,0.5108359133,61.233,54.90676056,102.5,19,17,0.6294383388,0.06899267258,0.6508755713,-0.2675471424,2.081214468,1265.276441
652,1,692,36.99792674,27.41323266,0.671571563,-68.38976429,1006,29.68302149,0.6878727634,0.4805555556,164.415,117.9709847,84.5,36,40,0.4287426446,0.07533154864,0.4494712261,-0.06008241881,2.280844639,2925.608159
652,2,247,22.57328201,18.59204176,0.5671269083,-5.579590098,419,17.73387063,0.5894988067,0.3187096774,94.587,81.74436052,63.5,31,25,1.109138757,0.07974646888,1.15011993,-0.0898627776,2.085653736,7447.165527
672,1,8206,190.3774221,77.56759881,0.9132314583,-58.23732082,13896,102.2164552,0.5905296488,0.3053054543,988.497,516.2517262,297.5,151,178,0.1433228073,0.009783160632,0.1410947492,0.08744466179,2.151945476,1386.113159
672,2,329,30.1985896,15.44658173,0.8592832147,-20.93250389,408,20.46694433,0.806372549,0.4531680441,88.938,85.67661234,154.5,33,22,0.487908525,0.06909744511,0.5262304641,-0.2617746268,2.025817563,1409.330078
672,3,275,31.23626785,23.09106462,0.6734432662,71.33308094,657,18.71205159,0.4185692542,0.2777777778,130.777,96.84654097,218.5,30,33,0.7701545898,0.05344149438,0.7595463455,0.195505659,2.377860967,2564.877197
672,4,270,21.76645225,16.61916501,0.6457818249,-47.62344399,308,18.5411617,0.8766233766,0.5869565217,66.402,67.01198628,273.5,23,20,0.6371766364,0.05393405313,0.6822178053,-0.2349522994,2.052672433,2484.214391
672,5,208,18.06829074,14.87258958,0.5678499746,-22.89868208,217,16.27371578,0.9585253456,0.7298245614,50.465,53.98486664,222.5,19,15,5.015751878,1.107783657,4.816973053,0.435911349,2.459809684,474025.4907
672,6,196,18.197254,14.68671025,0.5904368052,44.30795435,232,15.79730834,0.8448275862,0.5764705882,58.264,57.53014912,116.5,20,17,0.6253775301,0.90634561,0.6847149903,-0.4102065747,1.978395703,2135.497606
701,1,1752,70.56091896,41.21638043,0.8116638807,56.38398917,2922,47.23045291,0.5995893224,0.4022962113,300.666,205.8233985,124.5,67,65,0.311474906,0.04734377588,0.3238812587,-0.1092349914,2.185580801,2502.076416
701,2,341,25.36879527,21.67387401,0.5196952269,-39.33892284,589,20.8368588,0.5789473684,0.4230769231,116.321,92.99042648,58.5,31,26,1.622049779,0.06787076573,1.609696547,0.03797283347,2.097488029,92452.35941
782,1,328,22.79554455,18.76382884,0.5678445669,-51.20848231,353,20.43581588,0.9291784703,0.6776859504,66.195,69.06776964,88.5,22,22,0.6672761888,0.5579299754,0.6655702218,0.05455773305,2.32652594,4945.652235
782,2,228,28.97338021,23.90642334,0.5649621523,51.4539409,527,17.03815178,0.4326375712,0.3131868132,136.674,85.97322168,52.5,28,26,0.7372006022,0.05869181192,0.8153727098,-0.4030188319,2.001292862,3178.402344
782,3,199,20.00755381,13.23176827,0.7500874708,-4.317207369,236,15.917747,0.843220339,0.6461038961,60.108,59.14973174,104.5,22,14,0.6360061914,0.06282296108,0.6766239982,-0.09828208898,2.1269674,1528.384826
821,1,464,30.84028499,22.14155656,0.6961022354,-61.05760852,630,24.30603112,0.7365079365,0.4823284823,114.254,98.32043995,71.5,26,37,0.6651957264,0.04114205216,0.6785321068,0.0004162324647,2.243053485,4633.175781
821,2,224,31.46161934,13.30839843,0.9061277016,-51.60190987,397,16.88803298,0.564231738,0.3218390805,92.478,80.93281141,49.5,24,29,0.7804773834,0.05921352718,0.7227932127,0.2864131783,2.207846774,1237.02417
888,1,6114,462.3007368,34.11799283,0.9972730301,5.232634175,21912,88.23030418,0.2790251917,0.1346458774,1532.801,1086.845053,565.5,528,86,0.1928747789,0.0113339743,0.1816974303,0.4537535705,2.736348783,606.1085205
888,2,1305,641.8265186,18.67997094,0.9995763774,3.672451966,9022,40.76245338,0.1446464199,0.06417191188,1094.277,1010.967157,532.5,496,41,4.139529395,0.02453238009,3.630294942,0.5527934474,2.359478891,4648.970215
888,3,200,42.65862123,23.33593584,0.8371070242,25.11347197,804,15.95769122,0.2487562189,0.1519756839,174.8,115.6693506,74.5,47,28,11.01898315,0.06266570687,9.720459148,0.6300994819,2.550816196,73408
888,4,184,25.43253621,13.39630514,0.8500271601,-13.77862126,381,15.30607971,0.4829396325,0.3458646617,92.122,78.81012388,200.5,28,19,0.6938527646,0.06533351574,0.6821019297,0.1864815569,2.265107347,1066.054688
888,5,179,22.78115013,11.57771976,0.8612302963,-31.88979187,225,15.09668435,0.7955555556,0.4972222222,63.747,63.49825916,168.5,24,15,0.7797129104,0.06623971042,0.7552488999,0.1703621732,2.360150778,894.6278687
